#separator:tab
#html:false
#columns:Front	Back	Tags
gut	well / good	lesson2::adjektive
schlecht	bad	lesson2::adjektive
weit	far	lesson2::adjektive
früh	early	lesson2::adjektive
spät	late	lesson2::adjektive
teuer	expensive	lesson2::adjektive
billig	cheap	lesson2::adjektive
kostenlos	free	lesson2::adjektive
gratis	complimentary	lesson2::adjektive
sicher	sure / safe	lesson2::adjektive
schön	beautiful	lesson2::adjektive
hässlich	ugly	lesson2::adjektive
klein	small	lesson2::adjektive
groß	big	lesson2::adjektive
neu	new	lesson2::adjektive
lang	long	lesson2::adjektive
großartig	Great	lesson2::adjektive
alt	old	lesson2::adjektive
jung	young	lesson2::adjektive
anders	different	lesson2::adjektive
wichtig	important	lesson2::adjektive
lustig	funny	lesson2::adjektive
ernst	serious	lesson2::adjektive
stark	strong	lesson2::adjektive
einfach	easy	lesson2::adjektive
schwer	difficult / heavy	lesson2::adjektive
arm	poor	lesson2::adjektive
reich	rich	lesson2::adjektive
glücklich	happy	lesson2::adjektive
traurig	sad	lesson2::adjektive
heiß	hot	lesson2::adjektive
kalt	cold	lesson2::adjektive
schnell	fast / quickly	lesson2::adjektive
langsam	slow	lesson2::adjektive
nah	near	lesson2::adjektive
altmodisch	old-fashioned	lesson2::adjektive
modern	modern	lesson2::adjektive
laut	loud	lesson2::adjektive
leise	quiet	lesson2::adjektive
voll	full	lesson2::adjektive
leer	empty	lesson2::adjektive
hell	bright	lesson2::adjektive
dunkel	dark	lesson2::adjektive
freundlich	friendly	lesson2::adjektive
unfreundlich	unfriendly	lesson2::adjektive
sauber	clean	lesson2::adjektive
schmutzig	dirty	lesson2::adjektive
gefährlich	dangerous	lesson2::adjektive
kurz	short	lesson2::adjektive
leicht	light (in weight)	lesson2::adjektive
niedrig	low	lesson2::adjektive
schwarz	black	lesson2::adjektive
weiß	white	lesson2::adjektive
rot	red	lesson2::adjektive
blau	blue	lesson2::adjektive
grün	green	lesson2::adjektive
gelb	yellow	lesson2::adjektive
orange	orange	lesson2::adjektive
braun	brown	lesson2::adjektive
grau	gray	lesson2::adjektive
rosa	pink	lesson2::adjektive
lila	purple	lesson2::adjektive
beige	beige	lesson2::adjektive
türkis	turquoise	lesson2::adjektive
gold	gold	lesson2::adjektive
silber	silver	lesson2::adjektive
