#separator:tab
#html:false
#columns:Front	Back	Tags
Bitte	please	lesson2::phrasen lesson2::essentials
Danke	thank you	lesson2::phrasen lesson2::essentials
Entschuldigung	sorry	lesson2::phrasen lesson2::essentials
Alles klar	alright	lesson2::phrasen lesson2::essentials
Ich verstehe (nicht)	I (do not) understand	lesson2::phrasen lesson2::essentials
Sprechen Sie Deutsch?	Do you speak German?	lesson2::phrasen lesson2::essentials
Ich spreche kein Englisch	I don't speak English	lesson2::phrasen
Hilfe!	Help!	lesson2::phrasen
Ein bisschen langsamer bitte	A little slower please	lesson2::phrasen lesson2::essentials
Gesundheit!	Bless you!	lesson2::phrasen
Prost!	Cheers!	lesson2::phrasen
Wie heißen Sie?	What is your name?	lesson2::phrasen lesson2::essentials
Ich heiße…	My name is…	lesson2::phrasen lesson2::essentials
Ich bin…	I am…	lesson2::phrasen lesson2::essentials
Es ist nett Sie kennenzulernen.	It is nice to meet you.	lesson2::phrasen lesson2::essentials
Ich bin X Jahre alt.	I am X years old.	lesson2::phrasen
Ich komme aus…	I am from…	lesson2::phrasen lesson2::essentials
Wie alt sind Sie?	How old are you?	lesson2::phrasen lesson2::essentials
Wo arbeiten Sie?	Where do you work?	lesson2::phrasen
Wo kommen Sie her?	Where are you from?	lesson2::phrasen lesson2::essentials
Was bringt Sie hierher?	What brings you here?	lesson2::phrasen
Wie war Ihre Reise?	How was your trip?	lesson2::phrasen
Haben Sie eine gute Zeit?	Are you having a good time?	lesson2::phrasen
Was halten Sie von…?	What do you think about…?	lesson2::phrasen
Meine Freunde nennen mich…	My friends call me…	lesson2::phrasen
Kennen wir uns?	Have we met before?	lesson2::phrasen
Dies ist (Name)	This is (name)	lesson2::phrasen
Wie war Ihr Wochenende?	How was your weekend?	lesson2::phrasen
Hallo	Hello	lesson2::phrasen lesson2::essentials
Guten Morgen	Good morning	lesson2::phrasen lesson2::essentials
Guten Tag	Good afternoon	lesson2::phrasen lesson2::essentials
Guten Abend	Good evening	lesson2::phrasen lesson2::essentials
Gute Nacht	Good night	lesson2::phrasen lesson2::essentials
Tschüss	See you!	lesson2::phrasen lesson2::essentials
Auf Wiedersehen	Goodbye	lesson2::phrasen lesson2::essentials
Wie geht es Ihnen?	How are you?	lesson2::phrasen lesson2::essentials
Hey / Hallo	Hey / Hi	lesson2::phrasen
Wie geht’s?	How's it going? / How do you do?	lesson2::phrasen
Was geht?	What's up?	lesson2::phrasen
Schön Sie zu sehen.	Good to see you.	lesson2::phrasen
Nett Sie kennenzulernen	Pleased to meet you.	lesson2::phrasen
Mach’s gut	Take care.	lesson2::phrasen
Lange nicht gesehen	Long-time no see / Haven't seen you in a while	lesson2::phrasen
Wie steht’s?	How are things going? / How's it going?	lesson2::phrasen
Ich möchte gerne…	I would like…	lesson2::phrasen lesson2::essentials
Wo sind die Toiletten?	Where is the restroom?	lesson2::phrasen lesson2::essentials
Wie spät ist es?	What time is it?	lesson2::phrasen lesson2::essentials
Ich übernachte bei…	I am staying at…	lesson2::phrasen
Ich besuche Familie Smith	I am visiting the Smith family	lesson2::phrasen
Ich bin hier für X Tage	I am here for X days	lesson2::phrasen
Haben Sie eine Karte?	Do you have a map?	lesson2::phrasen
Wo ist…?	Where is…?	lesson2::phrasen lesson2::essentials
Wie komme ich nach…?	How do I get to…?	lesson2::phrasen
Ich suche … Straße.	I'm looking for … street.	lesson2::phrasen
um die Ecke	around the corner	lesson2::phrasen
Folgen Sie mir	follow me	lesson2::phrasen
neben X	next to X	lesson2::phrasen
Wie viel kostet das?	How much is that?	lesson2::phrasen lesson2::essentials
Entschuldigen Sie, arbeiten Sie hier?	Excuse me, do you work here?	lesson2::phrasen
Einen Tisch für X Personen, bitte.	A table for X, please.	lesson2::phrasen
Ich würde gerne bestellen.	I would like to order.	lesson2::phrasen
Kann ich bitte die Karte haben?	May I see the menu?	lesson2::phrasen
Die Rechnung bitte.	Check, please. / Can I have the bill?	lesson2::phrasen lesson2::essentials
All you can eat	all you can eat	lesson2::phrasen
Happy Hour	happy hour	lesson2::phrasen
